,Proactive starting time,Isolation Scale up Start Time,Hygiene program start time,Vaccination Program Start time,Fraction of additional personnel as proactiveness,Fraction of Additional capacity as proactiveness,Average Staff commisioning time,Facility commisioning time,Vaccination rollout Rate,Media outreach Rollout,Deceased population,Culmulative Project Costs
0,55.58385233208206,10.265294053452793,330.41096654039126,96.70752232266196,0.8376505205606215,0.5505326398117996,63.36698522086738,357.79059766514956,1.9514884927967622,1.2129010920569152,14864.905759210258,37402538.032524936
1,57.279537849312234,10.073748895673996,329.6008580281745,104.53372457592273,0.7860672809761169,0.5479275394841869,61.291279492629585,352.8306419401085,1.7251041683962085,1.1785465931269175,15621.578606338928,36922128.54833024
2,57.279537849312234,10.073748895673996,359.0599800906906,104.53372457592273,0.7860672809761169,0.5479275394841869,61.291279492629585,352.8306419401085,1.699547010724447,1.1785465931269175,15633.246677604226,36824278.70076257
3,57.279537849312234,10.073748895673996,289.1306390135326,94.31668105166565,0.8131795975301898,0.5479275394841869,61.291279492629585,352.8306419401085,1.7251041683962085,1.1785465931269175,14846.360382184848,37726639.404020384
4,57.279537849312234,10.073748895673996,356.24443252046734,133.3099418009873,0.8139524930443646,0.4336572717493011,61.291279492629585,335.6560506379494,1.697125132637851,1.1785465931269175,18154.197366940087,35221547.22900311
5,37.90767696941477,10.073748895673996,359.0932401370357,77.7477000161899,0.7860672809761169,0.5479275394841869,61.291279492629585,352.8306419401085,1.6969885647385738,1.1785465931269175,13978.986183002076,38256975.01242483
6,36.35539603571025,10.073748895673996,356.24443252046734,80.5778822537885,0.7865034073354918,0.4336572717493011,61.291279492629585,335.6560506379494,1.6969951777358856,1.1623165797879618,14118.935321738802,38125176.63199173
7,55.66037890987963,10.073748895673996,356.24443252046734,148.41451468397136,0.8406289493017862,0.6891799765178073,60.504854382511205,335.6560506379494,1.7369836632195068,1.1833014152471169,19124.927228115124,34515883.76789651
8,55.66037890987963,10.073748895673996,355.2329641620719,148.41451468397136,0.8406289493017862,0.6841773005622753,60.504854382511205,343.66013794280025,1.780775773345375,1.1833014152471169,19118.634991720293,34517160.19085995
9,53.55618331079012,10.073748895673996,309.43798733988694,115.54828050291198,0.7868003231394191,0.5479275394841869,61.291279492629585,352.8306419401085,1.699547010724447,1.1785465931269175,16612.631743109574,36458853.39964513
10,53.61181808632095,10.000988358164479,359.69419833488405,14.586141719170719,0.7857418460644721,0.5752320883161752,32.9528386750505,351.1664492640938,1.9947037581049323,1.2161632224537169,11699.099487921685,39062431.19329847
11,41.78415822850443,10.25619454274051,359.429808310816,11.853406301082039,0.8524410139705969,0.4886277719520127,340.63520717655945,293.3835767133911,1.9546225125100682,1.2945746560008768,10285.458885532998,41987951.75993392
12,41.78415822850443,10.25619454274051,359.02395024129146,11.853406301082039,0.8550956291144493,0.4886277719520127,340.63520717655945,293.3835767133911,1.960224034853006,1.1710121619049554,10281.413554111768,41992273.97963247
13,42.23419164496648,10.219622841947889,331.11581581952834,61.66095456867906,0.8406084329352372,0.6763655557362103,40.98454445656415,280.8118302451843,1.9055033085798656,1.262511234544838,13291.924643176784,38920923.938114755
14,42.23419164496648,10.219622841947889,331.11581581952834,70.17096986929569,0.8406084329352372,0.5083956565093767,40.98454445656415,280.8118302451843,1.9055033085798656,1.1678637928210058,13668.515223812883,38611171.75231233
15,42.32749331537307,10.25619454274051,359.02395024129146,10.386700578105446,0.8550956291144493,0.5660576188566749,340.63520717655945,293.3835767133911,1.960224034853006,1.1710121619049554,10190.012799014128,42074367.764382206
16,42.23419164496648,10.256241397373252,329.3243794211884,100.45122748470652,0.8406084329352372,0.5083956565093767,53.91049711871719,292.90409434767986,1.9055033085798656,1.1678637928210058,15209.060030006207,37340681.94183727
17,55.03629399268929,10.25619454274051,336.026234533598,16.00035410784639,0.8524410139705969,0.4882010680899468,313.2297869633027,331.8079652916455,1.9546225125100682,1.1698367952578141,10650.397463001995,41379323.21530403
18,54.79136068803129,10.021056676773243,309.43798733988694,115.54828050291198,0.7868003231394191,0.5479275394841869,62.45072907564408,353.28181768213153,1.6852917951419952,1.1785465931269175,16601.55589458181,36474809.91235203
19,41.792935779430344,10.25619454274051,359.41057526895236,10.469007092026812,0.8669481396121795,0.5033518499759709,340.63520717655945,293.3835767133911,1.960224034853006,1.156792009494947,10186.589433531399,42077399.78321922
20,42.23419164496648,10.219622841947889,331.11581581952834,62.525201447795226,0.8406084329352372,0.5083956565093767,40.98454445656415,280.8118302451843,1.9055033085798656,1.1678637928210058,13327.150657296823,38873518.06917978
21,55.15969592831136,10.25619454274051,336.026234533598,17.967225092268144,0.8524410139705969,0.5238849015410024,293.903172270478,331.5967483870797,1.9546225125100682,1.1757170919107294,10797.9502102567,41186583.93935783
22,41.792935779430344,10.25619454274051,360.04645878731833,10.469007092026812,0.8669481396121795,0.5033518499759709,340.63520717655945,293.3835767133911,1.9608190620040338,1.156792009494947,10186.113223522136,42077661.39445382
23,42.665646706152515,10.220351597057384,336.3222200219943,72.74419249315676,0.8527361321646725,0.5074559759041604,46.09029292596677,280.8118302451843,1.9044901118290842,1.1679890879599997,13696.200706571624,38478559.31068496
24,42.665646706152515,10.254943305121438,364.0005726263754,72.74419249315676,0.8431235061612035,0.5074559759041604,46.09029292596677,261.5634805692856,1.9044901118290842,1.1679890879599997,13713.546688081771,38408909.86331051
25,41.6095543227002,10.002683089503893,331.11581581952834,62.525201447795226,0.8406084329352372,0.5083956565093767,40.98454445656415,280.8118302451843,1.9055033085798656,1.178114527423362,13318.202434991492,38874593.9386782
26,54.09297715203698,10.25619454274051,360.04645878731833,14.936882227817385,0.8669481396121795,0.5033518499759709,340.63520717655945,292.40938734654253,1.9608190620040338,1.1485997837060986,10522.712135309013,41573176.28890803
27,44.17871548037489,10.25619454274051,359.41057526895236,10.469007092026812,0.9380348919277255,0.5033518499759709,62.79801686952604,280.6232915657768,1.902054611147224,1.1565994281743397,10836.982370971704,39366208.70075618
28,68.81671738635328,10.078959877623046,359.0850381899648,10.584266890437988,0.8774790895445529,0.5479275394841869,300.168837568526,362.04055054576577,1.6712427872428122,1.3194810598280398,10625.35668524214,41432220.741983354
29,41.787241637456354,10.25619454274051,360.54915726688256,310.5657086525885,0.940891861196286,0.5033518499759709,342.6384023027093,298.5173025696355,1.9990828278034334,1.2349273569450352,19575.56132581988,32663145.91506653
30,41.6095543227002,10.008268391853706,331.11581581952834,60.80802801046043,0.8406084329352372,0.5083956565093767,40.98454445656415,298.27323829125,1.9055033085798656,1.179608699794814,13246.186589608269,38931102.49130349
31,41.792935779430344,10.25619454274051,360.05268943472134,10.469007092026812,0.8669481396121795,0.5077345095306944,344.5520455198852,293.3835767133911,1.9608190620040338,1.156792009494947,10183.308622660525,42101381.00100681
32,59.135431384225406,10.077724588372233,359.0924860613461,102.23209995881662,0.8204613551451959,0.5296156889108637,61.291279492629585,352.8306419401085,1.6852668884768665,1.1502638907271026,15387.23086364037,37005988.13591996
33,41.792935779430344,10.25619454274051,360.05268943472134,10.469007092026812,0.8669481396121795,0.5077345095306944,345.08370341319136,293.3835767133911,1.9608190620040338,1.156792009494947,10182.759697477666,42104341.06528989
34,59.69141141326112,10.077724588372233,359.0924860613461,113.44387209437329,0.8204613551451959,0.5033480103613217,61.291279492629585,352.8306419401085,1.7141283216102705,1.1502638907271026,16346.998468037144,36500580.89297255
35,41.792935779430344,10.256174154985725,360.04645878731833,10.469007092026812,0.8669481396121795,0.5033518499759709,56.38112843397167,260.1112550727548,1.9608190620040338,1.156792009494947,10944.419870685653,39256610.96046232
36,41.792935779430344,10.25619454274051,360.05268943472134,10.384342638074457,0.8669481396121795,0.5077345095306944,345.08370341319136,293.3835767133911,1.9608190620040338,1.156792009494947,10176.199721876583,42111325.99637067
37,42.665646706152515,10.254943305121438,344.99274420316925,72.74419249315676,0.8431235061612035,0.5142992652283036,46.09029292596677,252.01675192311896,1.9047774483810425,1.0574080371277224,13713.42325738048,38432749.653353885
